epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.547,1.04374,1.64271,1.13177,0.30574,0.34964,0.18835,0.12649,1.13248,2.11664,1.20553,0.00333065,0.00333065,0.00333065
2,799.663,0.8852,1.25396,1.05578,0.31126,0.35792,0.20972,0.15594,0.88676,2.10682,1.12432,0.00659801,0.00659801,0.00659801
3,1198.17,0.85185,1.22498,1.05027,0.31218,0.35964,0.21309,0.15658,0.96948,2.15471,1.22933,0.00979937,0.00979937,0.00979937
4,1594.07,0.81581,1.18247,1.04345,0.28901,0.40364,0.22824,0.17615,0.83496,2.04584,1.17672,0.009703,0.009703,0.009703
5,1988.8,0.75598,1.12501,1.02349,0.28491,0.53396,0.25509,0.20303,0.7551,1.83332,1.12619,0.009604,0.009604,0.009604
6,2383.35,0.71679,1.08008,1.00751,0.28942,0.64003,0.27389,0.21958,0.73464,1.75839,1.12222,0.009505,0.009505,0.009505
7,2778.19,0.67925,1.03618,0.99412,0.33341,0.71779,0.30932,0.25109,0.6493,1.62006,1.09337,0.009406,0.009406,0.009406
8,3172.45,0.64859,1.01512,0.98698,0.34711,0.76609,0.32472,0.27431,0.59167,1.59486,1.07298,0.009307,0.009307,0.009307
9,3566.34,0.6341,1.00265,0.98206,0.35757,0.81019,0.33866,0.29274,0.55152,1.4381,1.05661,0.009208,0.009208,0.009208
10,3958.94,0.60961,0.97694,0.97218,0.3644,0.82995,0.34601,0.29216,0.58421,1.48907,1.09142,0.009109,0.009109,0.009109
11,4351.43,0.60105,0.97143,0.96987,0.36824,0.84186,0.34662,0.30441,0.52147,1.4772,1.02681,0.00901,0.00901,0.00901
12,4742.78,0.58264,0.9481,0.96226,0.364,0.83634,0.34201,0.30474,0.47511,1.44205,1.01055,0.008911,0.008911,0.008911
13,5135.23,0.56921,0.94564,0.96071,0.35367,0.83778,0.33285,0.28718,0.55782,1.46942,1.08649,0.008812,0.008812,0.008812
14,5527.61,0.56189,0.93931,0.95633,0.37347,0.86424,0.35182,0.29628,0.58884,1.35903,1.13528,0.008713,0.008713,0.008713
15,5918.92,0.55018,0.931,0.95439,0.38034,0.8691,0.35855,0.32072,0.47809,1.37138,1.01025,0.008614,0.008614,0.008614
16,6310.62,0.54021,0.93656,0.9515,0.3817,0.86638,0.35845,0.32608,0.42973,1.31093,0.98513,0.008515,0.008515,0.008515
